Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Closed At;status
29798528;EbookFoundation/free-science-books;926513;1;['free-science-books.md', 'free-science-books.md', 'free-science-books.md', 'free-science-books.md'];EbookFoundation/free-science-books;2020-08-05T19:40:46Z;closed
3125580;EbookFoundation/free-programming-books;926513;4;['books/free-programming-books-es.md', 'books/free-programming-books-langs.md', 'books/free-programming-books-zh.md', 'casts/free-podcasts-screencasts-en.md', 'courses/free-courses-ar.md', 'courses/free-courses-bn.md', 'courses/free-courses-id.md', 'courses/free-courses-pt_BR.md', 'courses/free-courses-vi.md', 'docs/HOWTO-ko.md', 'books/free-programming-books-es.md', 'courses/free-courses-en.md', 'courses/free-courses-es.md', 'courses/free-courses-id.md', 'courses/free-courses-pt_BR.md', 'books/free-programming-books-langs.md', 'books/free-programming-books-zh.md', 'courses/free-courses-ar.md', 'courses/free-courses-bn.md', 'courses/free-courses-en.md', 'courses/free-courses-id.md', 'courses/free-courses-vi.md', 'casts/free-podcasts-screencasts-en.md', 'courses/free-courses-pt_BR.md'];EbookFoundation/free-programming-books;2022-03-07T15:04:22Z;closed
3125580;EbookFoundation/free-programming-books;926513;3;['README.md', 'README.md', 'README.md', 'README.md'];EbookFoundation/free-programming-books;2022-02-14T16:35:12Z;closed
3125580;EbookFoundation/free-programming-books;78213164;3;['README.md', 'README.md', 'README.md', 'README.md'];EbookFoundation/free-programming-books;2022-02-14T16:35:12Z;closed
3125580;EbookFoundation/free-programming-books;926513;2;['README.md', 'docs/README.md', 'README.md', 'docs/README.md', 'README.md', 'docs/README.md', 'README.md', 'docs/CODE_OF_CONDUCT-bs.md', 'docs/HOWTO-bs.md', 'docs/CODE_OF_CONDUCT.md', 'docs/CONTRIBUTING.md', 'docs/HOWTO.md', 'docs/CODE_OF_CONDUCT-es.md', 'docs/CONTRIBUTING-es.md', 'docs/HOWTO-es.md', 'docs/CODE_OF_CONDUCT-fr.md', 'docs/CONTRIBUTING-fr.md', 'docs/HOWTO-fr.md', 'docs/CODE_OF_CONDUCT-de.md', 'docs/CONTRIBUTING-de.md', 'docs/HOWTO-de.md', 'docs/CODE_OF_CONDUCT-el.md', 'docs/CONTRIBUTING-el.md', 'docs/HOWTO-el.md', 'docs/CODE_OF_CONDUCT-fa_IR.md', 'docs/CONTRIBUTING-fa_IR.md', 'docs/HOWTO-fa_IR.md', 'docs/CODE_OF_CONDUCT-fil.md', 'docs/CONTRIBUTING-fil.md', 'docs/HOWTO-fil.md', 'docs/CODE_OF_CONDUCT-it.md', 'docs/CONTRIBUTING-it.md', 'docs/HOWTO-it.md', 'docs/CODE_OF_CONDUCT-pt_BR.md', 'docs/CONTRIBUTING-pt_BR.md', 'docs/HOWTO-pt_BR.md', 'docs/CODE_OF_CONDUCT-ko.md', 'docs/CONTRIBUTING-ko.md', 'docs/HOWTO-ko.md', 'docs/CODE_OF_CONDUCT-ru.md', 'docs/CONTRIBUTING-ru.md', 'docs/HOWTO-ru.md', 'docs/CODE_OF_CONDUCT-id.md', 'docs/CONTRIBUTING-id.md', 'docs/HOWTO-id.md', 'docs/CONTRIBUTING-zh.md', 'docs/CONTRIBUTING-zh_TW.md', 'docs/HOWTO-zh.md', 'docs/HOWTO-zh_TW.md', 'docs/CODE_OF_CONDUCT-hi.md', 'docs/HOWTO-hi.md', 'docs/CODE_OF_CONDUCT-pl.md', 'docs/HOWTO-pl.md', 'docs/CODE_OF_CONDUCT-uk.md', 'docs/HOWTO-uk.md', 'docs/CONTRIBUTING-vi.md', 'docs/HOWTO-vi.md', 'docs/HOWTO-ar.md', 'docs/HOWTO-bn.md', 'docs/HOWTO-km.md', 'docs/HOWTO-nl.md', 'docs/HOWTO-sl.md', 'docs/HOWTO-sv.md', 'docs/HOWTO-th.md', 'docs/HOWTO-tr.md', 'README.md', 'books/free-programming-books-zh.md', 'courses/free-courses-en.md', 'docs/HOWTO-ar.md', 'more/free-programming-cheatsheets.md', 'README.md', 'README.md'];EbookFoundation/free-programming-books;2022-02-11T17:27:07Z;closed
3125580;EbookFoundation/free-programming-books;926513;2;['README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', '.github/dependabot.yml', '.github/workflows/fpb-lint.yml', '.github/workflows/main.yml', 'README.md', 'books/free-programming-books-ar.md', 'books/free-programming-books-bg.md', 'books/free-programming-books-bn.md', 'books/free-programming-books-cs.md', 'books/free-programming-books-de.md', 'books/free-programming-books-dk.md', 'books/free-programming-books-el.md', 'books/free-programming-books-es.md', 'books/free-programming-books-et.md', 'books/free-programming-books-fi.md', 'books/free-programming-books-he.md', 'books/free-programming-books-hi.md', 'books/free-programming-books-hu.md', 'books/free-programming-books-id.md', 'books/free-programming-books-it.md', 'books/free-programming-books-ja.md', 'books/free-programming-books-ko.md', 'books/free-programming-books-langs.md', 'books/free-programming-books-my.md', 'books/free-programming-books-nl.md', 'books/free-programming-books-pl.md', 'books/free-programming-books-pt_BR.md', 'books/free-programming-books-ru.md', 'books/free-programming-books-subjects.md', 'books/free-programming-books-sv.md', 'books/free-programming-books-tr.md', 'books/free-programming-books-vi.md', 'books/free-programming-books-zh.md', 'casts/free-podcasts-screencasts-en.md', 'casts/free-podcasts-screencasts-es.md', 'casts/free-podcasts-screencasts-fi.md', 'courses/free-courses-ar.md', 'courses/free-courses-bn.md', 'courses/free-courses-de.md', 'courses/free-courses-en.md', 'courses/free-courses-es.md', 'courses/free-courses-fi.md', 'courses/free-courses-fr.md', 'courses/free-courses-he.md', 'courses/free-courses-hi.md', 'courses/free-courses-id.md', 'courses/free-courses-it.md', 'courses/free-courses-ko.md', 'courses/free-courses-pl.md', 'courses/free-courses-pt_BR.md', 'courses/free-courses-ru.md', 'courses/free-courses-th.md', 'courses/free-courses-tr.md', 'courses/free-courses-uk.md', 'courses/free-courses-vi.md', 'docs/CODE_OF_CONDUCT-bs.md', 'docs/CODE_OF_CONDUCT-de.md', 'docs/CODE_OF_CONDUCT-el.md', 'docs/CODE_OF_CONDUCT-es.md', 'docs/CODE_OF_CONDUCT-fa_IR.md', 'docs/CODE_OF_CONDUCT-fil.md', 'docs/CODE_OF_CONDUCT-fr.md', 'docs/CODE_OF_CONDUCT-hi.md', 'docs/CODE_OF_CONDUCT-id.md', 'docs/CODE_OF_CONDUCT-it.md', 'docs/CODE_OF_CONDUCT-ko.md', 'docs/CODE_OF_CONDUCT-pl.md', 'docs/CODE_OF_CONDUCT-pt_BR.md', 'docs/CODE_OF_CONDUCT-ru.md', 'docs/CODE_OF_CONDUCT-uk.md', 'docs/CODE_OF_CONDUCT.md', 'docs/CONTRIBUTING-de.md', 'docs/CONTRIBUTING-el.md', 'docs/CONTRIBUTING-es.md', 'docs/CONTRIBUTING-fa_IR.md', 'docs/CONTRIBUTING-fil.md', 'docs/CONTRIBUTING-fr.md', 'docs/CONTRIBUTING-id.md', 'docs/CONTRIBUTING-it.md', 'docs/CONTRIBUTING-ko.md', 'docs/CONTRIBUTING-pt_BR.md', 'docs/CONTRIBUTING-ru.md', 'docs/CONTRIBUTING-vi.md', 'docs/CONTRIBUTING-zh.md', 'docs/CONTRIBUTING-zh_TW.md', 'docs/CONTRIBUTING.md', 'docs/HOWTO-ar.md', 'docs/HOWTO-bn.md', 'docs/HOWTO-bs.md', 'docs/HOWTO-de.md', 'docs/HOWTO-el.md', 'docs/HOWTO-es.md', 'docs/HOWTO-fa_IR.md', 'docs/HOWTO-fil.md', 'docs/HOWTO-fr.md', 'docs/HOWTO-hi.md', 'docs/HOWTO-id.md', 'docs/HOWTO-it.md', 'docs/HOWTO-km.md', 'docs/HOWTO-ko.md', 'docs/HOWTO-nl.md', 'docs/HOWTO-pl.md', 'docs/HOWTO-pt_BR.md', 'docs/HOWTO-ru.md', 'docs/HOWTO-sl.md', 'docs/HOWTO-sv.md', 'docs/HOWTO-th.md', 'docs/HOWTO-tr.md', 'docs/HOWTO-uk.md', 'docs/HOWTO-vi.md', 'docs/HOWTO-zh.md', 'docs/HOWTO-zh_TW.md', 'docs/HOWTO.md', 'docs/README.md', 'more/free-programming-cheatsheets.md', 'more/free-programming-interactive-tutorials-en.md', 'more/free-programming-playgrounds.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md'];EbookFoundation/free-programming-books;2022-03-15T00:47:02Z;closed
3125580;EbookFoundation/free-programming-books;78213164;2;['README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md', '.github/dependabot.yml', '.github/workflows/fpb-lint.yml', '.github/workflows/main.yml', 'README.md', 'books/free-programming-books-ar.md', 'books/free-programming-books-bg.md', 'books/free-programming-books-bn.md', 'books/free-programming-books-cs.md', 'books/free-programming-books-de.md', 'books/free-programming-books-dk.md', 'books/free-programming-books-el.md', 'books/free-programming-books-es.md', 'books/free-programming-books-et.md', 'books/free-programming-books-fi.md', 'books/free-programming-books-he.md', 'books/free-programming-books-hi.md', 'books/free-programming-books-hu.md', 'books/free-programming-books-id.md', 'books/free-programming-books-it.md', 'books/free-programming-books-ja.md', 'books/free-programming-books-ko.md', 'books/free-programming-books-langs.md', 'books/free-programming-books-my.md', 'books/free-programming-books-nl.md', 'books/free-programming-books-pl.md', 'books/free-programming-books-pt_BR.md', 'books/free-programming-books-ru.md', 'books/free-programming-books-subjects.md', 'books/free-programming-books-sv.md', 'books/free-programming-books-tr.md', 'books/free-programming-books-vi.md', 'books/free-programming-books-zh.md', 'casts/free-podcasts-screencasts-en.md', 'casts/free-podcasts-screencasts-es.md', 'casts/free-podcasts-screencasts-fi.md', 'courses/free-courses-ar.md', 'courses/free-courses-bn.md', 'courses/free-courses-de.md', 'courses/free-courses-en.md', 'courses/free-courses-es.md', 'courses/free-courses-fi.md', 'courses/free-courses-fr.md', 'courses/free-courses-he.md', 'courses/free-courses-hi.md', 'courses/free-courses-id.md', 'courses/free-courses-it.md', 'courses/free-courses-ko.md', 'courses/free-courses-pl.md', 'courses/free-courses-pt_BR.md', 'courses/free-courses-ru.md', 'courses/free-courses-th.md', 'courses/free-courses-tr.md', 'courses/free-courses-uk.md', 'courses/free-courses-vi.md', 'docs/CODE_OF_CONDUCT-bs.md', 'docs/CODE_OF_CONDUCT-de.md', 'docs/CODE_OF_CONDUCT-el.md', 'docs/CODE_OF_CONDUCT-es.md', 'docs/CODE_OF_CONDUCT-fa_IR.md', 'docs/CODE_OF_CONDUCT-fil.md', 'docs/CODE_OF_CONDUCT-fr.md', 'docs/CODE_OF_CONDUCT-hi.md', 'docs/CODE_OF_CONDUCT-id.md', 'docs/CODE_OF_CONDUCT-it.md', 'docs/CODE_OF_CONDUCT-ko.md', 'docs/CODE_OF_CONDUCT-pl.md', 'docs/CODE_OF_CONDUCT-pt_BR.md', 'docs/CODE_OF_CONDUCT-ru.md', 'docs/CODE_OF_CONDUCT-uk.md', 'docs/CODE_OF_CONDUCT.md', 'docs/CONTRIBUTING-de.md', 'docs/CONTRIBUTING-el.md', 'docs/CONTRIBUTING-es.md', 'docs/CONTRIBUTING-fa_IR.md', 'docs/CONTRIBUTING-fil.md', 'docs/CONTRIBUTING-fr.md', 'docs/CONTRIBUTING-id.md', 'docs/CONTRIBUTING-it.md', 'docs/CONTRIBUTING-ko.md', 'docs/CONTRIBUTING-pt_BR.md', 'docs/CONTRIBUTING-ru.md', 'docs/CONTRIBUTING-vi.md', 'docs/CONTRIBUTING-zh.md', 'docs/CONTRIBUTING-zh_TW.md', 'docs/CONTRIBUTING.md', 'docs/HOWTO-ar.md', 'docs/HOWTO-bn.md', 'docs/HOWTO-bs.md', 'docs/HOWTO-de.md', 'docs/HOWTO-el.md', 'docs/HOWTO-es.md', 'docs/HOWTO-fa_IR.md', 'docs/HOWTO-fil.md', 'docs/HOWTO-fr.md', 'docs/HOWTO-hi.md', 'docs/HOWTO-id.md', 'docs/HOWTO-it.md', 'docs/HOWTO-km.md', 'docs/HOWTO-ko.md', 'docs/HOWTO-nl.md', 'docs/HOWTO-pl.md', 'docs/HOWTO-pt_BR.md', 'docs/HOWTO-ru.md', 'docs/HOWTO-sl.md', 'docs/HOWTO-sv.md', 'docs/HOWTO-th.md', 'docs/HOWTO-tr.md', 'docs/HOWTO-uk.md', 'docs/HOWTO-vi.md', 'docs/HOWTO-zh.md', 'docs/HOWTO-zh_TW.md', 'docs/HOWTO.md', 'docs/README.md', 'more/free-programming-cheatsheets.md', 'more/free-programming-interactive-tutorials-en.md', 'more/free-programming-playgrounds.md', 'README.md', 'README.md', 'README.md', 'README.md', 'README.md'];EbookFoundation/free-programming-books;2022-03-15T00:47:02Z;closed
3125580;EbookFoundation/free-programming-books;926513;13;['.editorconfig', '.editorconfig', '.editorconfig', '.editorconfig', '.editorconfig', '.editorconfig', '.editorconfig', '.editorconfig', '.editorconfig', '.editorconfig', '.editorconfig', '.editorconfig', '.editorconfig', '.editorconfig'];EbookFoundation/free-programming-books;2022-03-16T19:45:02Z;closed
3125580;EbookFoundation/free-programming-books;22801583;13;['.editorconfig', '.editorconfig', '.editorconfig', '.editorconfig', '.editorconfig', '.editorconfig', '.editorconfig', '.editorconfig', '.editorconfig', '.editorconfig', '.editorconfig', '.editorconfig', '.editorconfig', '.editorconfig'];EbookFoundation/free-programming-books;2022-03-16T19:45:02Z;closed
3125580;EbookFoundation/free-programming-books;22801583;2;['README.md', 'README.md'];EbookFoundation/free-programming-books;2022-02-05T20:56:50Z;closed
