Author,Project/Subproject,Change_Size,Final Reviewers,All Reviewers,File Info,Subject,Status
1000463,frameworks_base,1570,[1000000],"[1000000, 1000002]","['packages/SettingsLib/src/com/android/settingslib/bluetooth/DeviceGroupClientProfile.java', 'core/java/android/bluetooth/BluetoothDeviceGroup.java', 'core/java/android/bluetooth/DeviceGroup.java', 'core/java/android/bluetooth/BluetoothGroupCallback.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/LocalBluetoothProfileManager.java', 'core/java/android/bluetooth/BluetoothProfile.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothEventManager.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothCallback.java', 'core/java/android/bluetooth/BluetoothAdapter.java']",DeviceGroup: Framework changes for Group Device operations.,closed
1000463,frameworks_base,8,[1000000],"[1000000, 1000002]","['core/java/android/bluetooth/BluetoothDevice.java', 'core/java/android/bluetooth/BluetoothHeadset.java']",BT build fixes,closed
1000463,frameworks_base,78,[1000000],"[1000000, 1000002]","['core/java/android/bluetooth/le/PeriodicAdvertisingManager.java', 'core/java/android/bluetooth/le/PeriodicAdvertisingCallback.java']",Periodic Advertisment Sync Transfer feature support,closed
1000463,frameworks_base,17,[1000000],"[1000000, 1000002]",['core/java/android/bluetooth/BluetoothCodecConfig.java'],Add LC3 codec type.,closed
1000463,frameworks_base,8,[1000000],"[1000000, 1000002]",['media/java/android/media/AudioSystem.java'],Audio: Add support for lc3 codec.,closed
1000463,frameworks_base,45,[1000000],"[1000000, 1000002]","['packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothEventManager.java', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothCallback.java']",Add callback onA2dpCodecConfigChanged,closed
1000463,frameworks_base,3,[1000000],"[1000000, 1000002]",['services/core/java/com/android/server/audio/AudioService.java'],Audio: Do not disconnect profiles till Bluetooth Off,closed
1000463,frameworks_base,15,[1000000],"[1000000, 1000002]",['services/core/java/com/android/server/audio/AudioDeviceInventory.java'],Audio: use cached BT codec info during disconnecting,closed
1000463,frameworks_base,1,[1000000],"[1000000, 1000002]",['services/core/java/com/android/server/audio/AudioDeviceInventory.java'],Audio: Update current active bt device of mApmConnectedDevices.,closed
1000463,frameworks_base,10,[1000000],"[1000000, 1000002]",['services/core/java/com/android/server/audio/BtHelper.java'],BT-Audio: Keep track of Active TWS+ EB device in BTHelper,closed
1000463,frameworks_base,4,[1000000],"[1000000, 1000002]",['core/java/android/bluetooth/le/AdvertiseData.java'],BLE: Fix NPE during start advertising,closed
1000463,frameworks_base,2,[1000000],"[1000000, 1000002]",['core/java/android/bluetooth/BluetoothHeadset.java'],Fix build errors,closed
1000463,frameworks_base,39,[1000000],"[1000000, 1000002]","['packages/SettingsLib/res/values/arrays.xml', 'packages/SettingsLib/src/com/android/settingslib/bluetooth/A2dpProfile.java', 'packages/SettingsLib/tests/robotests/src/com/android/settingslib/bluetooth/A2dpProfileTest.java', 'packages/SettingsLib/res/values-en-rGB/arrays.xml', 'packages/SettingsLib/res/values/custom_arrays.xml', 'packages/SettingsLib/res/values/cm_arrays.xml']",BT: Relocate A2DP codec strings for translation,closed
1000463,frameworks_base,4,[1000000],"[1000000, 1000002]",['core/java/android/bluetooth/BluetoothCodecConfig.java'],Enable codec change request when mode changes in aptX-adaptive,closed
1000463,frameworks_base,25,[1000000],"[1000000, 1000002]",['packages/SettingsLib/src/com/android/settingslib/bluetooth/A2dpProfile.java'],Keep a null check before accessing the BluetoothA2dpWrapper APIs.,closed
1000463,frameworks_base,1,[1000000],"[1000000, 1000002]",['packages/SettingsLib/res/values/arrays.xml'],Bluetooth: Fix for out of bound exception,closed
1000463,frameworks_base,1,[1000000],"[1000000, 1000002]",['packages/SettingsLib/res/values/arrays.xml'],BT Dev: Increase array size for codec selection in Dev Op,closed
1000463,frameworks_base,2,[1000000],"[1000000, 1000002]",['core/java/android/bluetooth/BluetoothHeadset.java'],Keep the BluetoothHeadset finalize() method protected,closed
1000463,frameworks_base,20,[1000000],"[1000000, 1000002]","['core/java/android/bluetooth/BluetoothHeadset.java', 'core/java/android/bluetooth/BluetoothAdapter.java']",Bluetooth: Fix for Global reference table overflow issue[1/2],closed
1000463,frameworks_base,76,[1000000],"[1000000, 1000002]","['core/java/android/bluetooth/BluetoothDevice.java', 'core/res/AndroidManifest.xml']",BT: Add new intent to broadcast IOT device details,closed
1000463,frameworks_base,11,[1000000],"[1000000, 1000002]",['services/core/java/com/android/server/audio/BtHelper.java'],BT_Audio: Updated Check for TWS+ switch,closed
1000463,frameworks_base,15,[1000000],"[1000000, 1000002]",['services/core/java/com/android/server/audio/BtHelper.java'],TWS_A2DP: Handle active device change between TWS+ earbuds,closed
1000463,frameworks_base,6,[1000000],"[1000000, 1000002]",['media/java/android/media/AudioSystem.java'],audio: Add support for APTX TWSP audio codec,closed
