72096,4diac/org.eclipse.4diac.ide,98,[72096],"[72096, 301502]","['features/org.eclipse.fordiac.ide.deployment.feature/feature.xml', 'features/org.eclipse.fordiac.ide.export.feature/feature.xml', 'features/org.eclipse.fordiac.ide.typeeditor.feature/feature.xml', 'features/org.eclipse.fordiac.ide.workbench.feature/feature.xml', 'plugins/org.eclipse.fordiac.ide.application/META-INF/MANIFEST.MF', 'plugins/org.eclipse.fordiac.ide.datatypeeditor/META-INF/MANIFEST.MF', 'plugins/org.eclipse.fordiac.ide.deployment/META-INF/MANIFEST.MF', 'plugins/org.eclipse.fordiac.ide.elk/META-INF/MANIFEST.MF', 'plugins/org.eclipse.fordiac.ide.export.forte_ng/META-INF/MANIFEST.MF', 'plugins/org.eclipse.fordiac.ide.fbtypeeditor.ecc/META-INF/MANIFEST.MF', 'plugins/org.eclipse.fordiac.ide.fbtypeeditor.network/META-INF/MANIFEST.MF', 'plugins/org.eclipse.fordiac.ide.fbtypeeditor.servicesequence/META-INF/MANIFEST.MF', 'plugins/org.eclipse.fordiac.ide.fbtypeeditor.simplefb/META-INF/MANIFEST.MF', 'plugins/org.eclipse.fordiac.ide.fbtypeeditor/META-INF/MANIFEST.MF', 'plugins/org.eclipse.fordiac.ide.gef/META-INF/MANIFEST.MF', 'plugins/org.eclipse.fordiac.ide.images/image_src/4DIAC_splash_2.0.x.odg', 'plugins/org.eclipse.fordiac.ide.model.commands/META-INF/MANIFEST.MF', 'plugins/org.eclipse.fordiac.ide.model.structuredtext/META-INF/MANIFEST.MF', 'plugins/org.eclipse.fordiac.ide.model.ui/META-INF/MANIFEST.MF', 'plugins/org.eclipse.fordiac.ide.model/META-INF/MANIFEST.MF', 'plugins/org.eclipse.fordiac.ide.monitoring/META-INF/MANIFEST.MF', 'plugins/org.eclipse.fordiac.ide.product/org.eclipse.fordiac.ide.product', 'plugins/org.eclipse.fordiac.ide.product/pom.xml', 'plugins/org.eclipse.fordiac.ide.subapptypeeditor/META-INF/MANIFEST.MF', 'plugins/org.eclipse.fordiac.ide.systemmanagement.ui/META-INF/MANIFEST.MF', 'plugins/org.eclipse.fordiac.ide.systemmanagement/META-INF/MANIFEST.MF', 'plugins/org.eclipse.fordiac.ide.typemanagement/META-INF/MANIFEST.MF', 'plugins/org.eclipse.fordiac.ide.ui/META-INF/MANIFEST.MF', 'plugins/org.eclipse.fordiac.ide/META-INF/MANIFEST.MF', 'plugins/org.eclipse.fordiac.ide/intro/whatsnew.xml', 'plugins/org.eclipse.fordiac.ide/profiles/latest/splash.bmp', 'pom.xml', 'tests/org.eclipse.fordiac.ide.test.export/META-INF/MANIFEST.MF', 'tests/org.eclipse.fordiac.ide.test.export/pom.xml', 'tests/org.eclipse.fordiac.ide.test.model.commands/META-INF/MANIFEST.MF', 'tests/org.eclipse.fordiac.ide.test.model.commands/pom.xml', 'tests/org.eclipse.fordiac.ide.test.model/META-INF/MANIFEST.MF', 'tests/org.eclipse.fordiac.ide.test.model/pom.xml', 'tests/org.eclipse.fordiac.ide.test.util/META-INF/MANIFEST.MF', 'tests/org.eclipse.fordiac.ide.test.util/pom.xml']",[releng] updated version numbers and splash for 2.0.1 release
988,papyrus/org.eclipse.papyrus-designer,4697,[988],"[988, 301551]","['plugins/languages/common/org.eclipse.papyrus.designer.languages.common.profile/src/org/eclipse/papyrus/designer/languages/common/profile/TemplateBindingConstants.java', 'plugins/languages/cpp/org.eclipse.papyrus.designer.languages.cpp.codegen/src/org/eclipse/papyrus/designer/languages/cpp/codegen/xtend/CppTypedElement.xtend', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.codegen.tests/expectedResult/.gitignore', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.codegen.tests/expectedResult/ClassWithNestedClass.java', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.codegen.tests/expectedResult/Package1/TestList.java', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.codegen.tests/expectedResult/TestEnumConst.java', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.codegen.tests/expectedResult/TestMainMethod.java', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.codegen.tests/resources/JavaCodegenTest.notation', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.codegen.tests/resources/JavaCodegenTest.uml', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.codegen.tests/src/org/eclipse/papyrus/designer/languages/java/codegen/tests/JavaCodegenTest.java', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.codegen/src/org/eclipse/papyrus/designer/languages/java/codegen/transformation/JavaModelElementsCreator.java', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.codegen/src/org/eclipse/papyrus/designer/languages/java/codegen/utils/JavaGenUtils.java', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.codegen/src/org/eclipse/papyrus/designer/languages/java/codegen/xtend/JavaAttribute.xtend', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.codegen/src/org/eclipse/papyrus/designer/languages/java/codegen/xtend/JavaClassImportClassDeclaration.xtend', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.codegen/src/org/eclipse/papyrus/designer/languages/java/codegen/xtend/JavaClassImportDeclaration.xtend', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.codegen/src/org/eclipse/papyrus/designer/languages/java/codegen/xtend/JavaClassInheritedDeclarations.xtend', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.codegen/src/org/eclipse/papyrus/designer/languages/java/codegen/xtend/JavaClassifierGenerator.xtend', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.codegen/src/org/eclipse/papyrus/designer/languages/java/codegen/xtend/JavaInnerClassifiers.xtend', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.codegen/src/org/eclipse/papyrus/designer/languages/java/codegen/xtend/JavaTypedElement.xtend', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.profile/profiles/PapyrusJava.ecore', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.profile/profiles/PapyrusJava.genmodel', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.profile/profiles/PapyrusJava.profile.notation', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.profile/profiles/PapyrusJava.profile.uml', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.profile/src-gen/org/eclipse/papyrus/designer/languages/java/profile/PapyrusJava/ExternLibrary.java', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.profile/src-gen/org/eclipse/papyrus/designer/languages/java/profile/PapyrusJava/PapyrusJavaFactory.java', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.profile/src-gen/org/eclipse/papyrus/designer/languages/java/profile/PapyrusJava/PapyrusJavaPackage.java', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.profile/src-gen/org/eclipse/papyrus/designer/languages/java/profile/PapyrusJava/Template.java', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.profile/src-gen/org/eclipse/papyrus/designer/languages/java/profile/PapyrusJava/TemplateBinding.java', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.profile/src-gen/org/eclipse/papyrus/designer/languages/java/profile/PapyrusJava/TemplateParameter.java', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.profile/src-gen/org/eclipse/papyrus/designer/languages/java/profile/PapyrusJava/impl/ExternLibraryImpl.java', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.profile/src-gen/org/eclipse/papyrus/designer/languages/java/profile/PapyrusJava/impl/PapyrusJavaFactoryImpl.java', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.profile/src-gen/org/eclipse/papyrus/designer/languages/java/profile/PapyrusJava/impl/PapyrusJavaPackageImpl.java', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.profile/src-gen/org/eclipse/papyrus/designer/languages/java/profile/PapyrusJava/impl/TemplateBindingImpl.java', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.profile/src-gen/org/eclipse/papyrus/designer/languages/java/profile/PapyrusJava/impl/TemplateImpl.java', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.profile/src-gen/org/eclipse/papyrus/designer/languages/java/profile/PapyrusJava/impl/TemplateParameterImpl.java', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.profile/src-gen/org/eclipse/papyrus/designer/languages/java/profile/PapyrusJava/util/PapyrusJavaAdapterFactory.java', 'plugins/languages/java/org.eclipse.papyrus.designer.languages.java.profile/src-gen/org/eclipse/papyrus/designer/languages/java/profile/PapyrusJava/util/PapyrusJavaSwitch.java', 'plugins/transformation/languages/java/org.eclipse.papyrus.designer.transformation.languages.java.library/models/examples/HelloWorldJava/HelloWorldJava.notation', 'plugins/transformation/languages/java/org.eclipse.papyrus.designer.transformation.languages.java.library/models/examples/HelloWorldJava/HelloWorldJava.uml', 'plugins/transformation/languages/java/org.eclipse.papyrus.designer.transformation.languages.java.tests/expectedResult/.gitignore', 'plugins/transformation/languages/java/org.eclipse.papyrus.designer.transformation.languages.java.tests/expectedResult/HelloWorldJava_defaultNode_SystemDepPlan/src/HelloWorldJava/classes/HelloWorld.java', 'plugins/transformation/languages/java/org.eclipse.papyrus.designer.transformation.languages.java.tests/expectedResult/HelloWorldJava_defaultNode_SystemDepPlan/src/sysinterfaces/IStart.java', 'plugins/transformation/languages/java/org.eclipse.papyrus.designer.transformation.languages.java.tests/expectedResult/SimpleSMJava_SimpleSMJava/src/SimpleSMJava/SimpleSM.java', 'plugins/transformation/languages/java/org.eclipse.papyrus.designer.transformation.languages.java.tests/expectedResult/SimpleSMJava_SimpleSMJava/src/statemachineJava/EventPriority_t.java', 'plugins/transformation/languages/java/org.eclipse.papyrus.designer.transformation.languages.java.tests/expectedResult/SimpleSMJava_SimpleSMJava/src/statemachineJava/EventType_t.java', 'plugins/transformation/languages/java/org.eclipse.papyrus.designer.transformation.languages.java.tests/expectedResult/SimpleSMJava_SimpleSMJava/src/statemachineJava/Event_t.java', 'plugins/transformation/languages/java/org.eclipse.papyrus.designer.transformation.languages.java.tests/expectedResult/SimpleSMJava_SimpleSMJava/src/statemachineJava/State_t.java', 'plugins/transformation/languages/java/org.eclipse.papyrus.designer.transformation.languages.java.tests/expectedResult/SimpleSMJava_SimpleSMJava/src/statemachineJava/StructForThread_t.java', 'plugins/transformation/languages/java/org.eclipse.papyrus.designer.transformation.languages.java.tests/expectedResult/SimpleSMJava_SimpleSMJava/src/statemachineJava/SystemStateEnum_t.java', 'plugins/transformation/languages/java/org.eclipse.papyrus.designer.transformation.languages.java.tests/expectedResult/SimpleSMJava_SimpleSMJava/src/statemachineJava/ThreadFunctions.java']","Bug 577949 - [Designer, Java] Cleanup Java profile, code generation issues"
275979,sirius/org.eclipse.sirius,16,[1408],"[1408, 245225]",['plugins/org.eclipse.sirius.tests.swtbot.support/src/org/eclipse/sirius/tests/swtbot/support/api/dialog/ImageSelectionGalleryHelper.java'],[575196] Fix checkstyle issues and warnings
2695,platform/eclipse.platform.debug,47,[2695],[2695],['org.eclipse.debug.core/core/org/eclipse/debug/internal/core/XMLMemento.java'],Bug 577894 - Security Issue -- XXE Attack
2695,platform/eclipse.platform.debug,6,[2695],[2695],"['org.eclipse.debug.core/META-INF/MANIFEST.MF', 'org.eclipse.debug.core/pom.xml']",Bug 577894 - Backport Bug 577341 from 4.22 to 4.7
3414,pde/eclipse.pde.ui,35,[3414],"[3414, 255268]","['ui/org.eclipse.pde.spy.bundle/META-INF/MANIFEST.MF', 'ui/org.eclipse.pde.spy.context/META-INF/MANIFEST.MF', 'ui/org.eclipse.pde.spy.core/META-INF/MANIFEST.MF', 'ui/org.eclipse.pde.spy.css/META-INF/MANIFEST.MF', 'ui/org.eclipse.pde.spy.model/META-INF/MANIFEST.MF', 'ui/org.eclipse.pde.spy.preferences/META-INF/MANIFEST.MF']",Bug 577985 - Remove unused dependencies in PDE spy
3414,pde/eclipse.pde.ui,4,[3414],"[3414, 255268]","['ui/org.eclipse.pde.spy.preferences/META-INF/MANIFEST.MF', 'ui/org.eclipse.pde.spy.preferences/pom.xml']",version change - Bug 577985 - Remove unused dependencies in PDE spy (
3414,pde/eclipse.pde.ui,4,[3414],"[3414, 255268]","['ui/org.eclipse.pde.spy.model/META-INF/MANIFEST.MF', 'ui/org.eclipse.pde.spy.model/pom.xml']",version change for Bug 577985 - Remove unused dependencies in PDE spy
2695,platform/eclipse.platform.debug,119,[2695],[2695],['org.eclipse.debug.core/core/org/eclipse/debug/internal/core/XMLMemento.java'],Bug 577894 - Backport Bug 577341 from 4.22 to 4.7
2695,platform/eclipse.platform.debug,6,[2695],[2695],"['org.eclipse.debug.core/META-INF/MANIFEST.MF', 'org.eclipse.debug.core/pom.xml']",Bug 577894 - Backport Bug 577341 from 4.22 to 4.7
