Author,Project/Subproject,Change_Size,Final Reviewers,All Reviewers,File Info,Subject,Status
484,Impala-ASF,198,[269],"[255, 269, 557]","['be/src/exec/union-node.cc', 'be/src/exec/union-node.h', 'be/src/exprs/scalar-expr.cc', 'be/src/exprs/scalar-expr.h', 'be/src/runtime/fragment-state.h', 'common/thrift/Exprs.thrift', 'fe/src/main/java/org/apache/impala/analysis/Expr.java', 'fe/src/main/java/org/apache/impala/analysis/ValuesStmt.java', 'fe/src/main/java/org/apache/impala/planner/UnionNode.java', 'fe/src/test/java/org/apache/impala/analysis/ExprRewriterTest.java', 'testdata/workloads/functional-planner/queries/PlannerTest/values.test', 'testdata/workloads/functional-query/queries/QueryTest/union-const-scalar-expr-codegen.test', 'tests/query_test/test_codegen.py', 'be/src/exprs/literal.cc', 'be/src/exprs/null-literal.h', 'be/src/exprs/slot-ref.cc', 'be/src/exprs/scalar-fn-call.cc', 'be/src/runtime/runtime-state.h']",IMPALA-6590: Disable expr rewrites and codegen for VALUES() statements,closed
484,Impala-ASF,29,[484],"[190, 255, 484]","['be/src/transport/THttpServer.cpp', 'fe/src/test/java/org/apache/impala/customcluster/LdapHS2Test.java']",IMPALA-11035: Make x-forwarded-for http header case-insensitive,closed
634,kudu,9,"[195, 460]","[42, 120, 195, 460]","['src/kudu/tools/kudu-tool-test.cc', 'src/kudu/tools/tool_action_remote_replica.cc']","[tool] KUDU-3343 Display the ""Data state"" and ""Last status"" in remote_replica list command.",closed
195,kudu,42,[217],"[120, 195, 217]","['src/kudu/consensus/consensus_queue-test.cc', 'src/kudu/consensus/log_cache.cc']",[consensus] reduce critical section in LogCache::ReadOps(),closed
557,Impala-ASF,247,[190],"[190, 255, 557, 593]","['be/src/scheduling/request-pool-service.cc', 'be/src/scheduling/request-pool-service.h', 'fe/src/main/java/org/apache/impala/util/JniRequestPoolService.java', 'fe/src/main/java/org/apache/impala/util/RequestPoolService.java', 'fe/src/test/java/org/apache/impala/util/TestRequestPoolService.java']",IMPALA-11054: Support resource pool polling for frontend,closed
217,kudu,19,[195],"[120, 195, 215, 217, 241]","['src/kudu/ranger/ranger_client.cc', 'src/kudu/subprocess/subprocess_proxy.h']",[ranger] clarify error message from subprocess,closed
195,kudu,2,"[195, 427, 460]","[120, 195, 217, 427, 460]",['java/gradle/dependencies.gradle'],[java] bump log4j up to 2.15.0 version,closed
195,kudu,2,"[215, 217, 427]","[120, 195, 215, 217, 427, 460]",['java/gradle/dependencies.gradle'],[java] bump log4j up to 2.16.0 version,closed
195,kudu,2,"[215, 217, 427]","[120, 195, 215, 217, 427, 460]",['java/gradle/dependencies.gradle'],[java] bump log4j up to 2.16.0 version,closed
422,kudu,16,[195],"[120, 195]","['src/kudu/common/table_util.cc', 'src/kudu/master/hms_notification_log_listener.cc', 'src/kudu/tools/tool_action_master.cc', 'src/kudu/tools/tool_action_table.cc', 'src/kudu/tserver/ts_tablet_manager.cc', 'src/kudu/util/block_cache_metrics.cc']",Fix some typo in help docs,closed
