Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Closed At;status
1042176;twbs/bootlint;1689750;300;['src/bootlint.js', 'test/_old_fixtures/buttons-plugin/checkbox-bad.html', 'test/_old_fixtures/buttons-plugin/radio-bad.html', 'test/_old_fixtures/buttons-plugin/valid.html', 'test/_old_fixtures/buttons/btn-toggle-after-btn.html', 'test/_old_fixtures/buttons/btn-toggle.html', 'test/bootlint_test.js', 'test/fixtures/buttons/btn-correct-element.html', 'test/fixtures/buttons/btn-incorrect-element.html', 'test/fixtures/buttons/button-disabled-class.html', 'test/fixtures/buttons/disabled-attribute.html', 'test/fixtures/buttons/input-btn-disabled-class.html', 'test/fixtures/buttons/with-type.html', 'test/fixtures/buttons/without-type.html'];twbs/bootlint;None;open
1042176;twbs/bootlint;1689750;318;['.travis.yml', 'test/.eslintrc.json', 'test/_old_fixtures/alert-dismiss-close/close-preceded-by-elem.html', 'test/_old_fixtures/alert-dismiss-close/close-preceded-by-nothing.html', 'test/_old_fixtures/alert-dismiss-close/close-preceded-by-text.html', 'test/_old_fixtures/alert-dismiss-close/missing-alert-dismissible.html', 'test/_old_fixtures/alert-dismiss-close/valid.html', 'test/_old_fixtures/bs-v2.html', 'test/_old_fixtures/buttons-plugin/checkbox-bad.html', 'test/_old_fixtures/buttons-plugin/radio-bad.html', 'test/_old_fixtures/buttons-plugin/valid.html', 'test/_old_fixtures/buttons/btn-correct-element.html', 'test/_old_fixtures/buttons/btn-incorrect-element.html', 'test/_old_fixtures/buttons/btn-toggle-after-btn.html', 'test/_old_fixtures/buttons/btn-toggle.html', 'test/_old_fixtures/buttons/button-disabled-class.html', 'test/_old_fixtures/buttons/disabled-attribute.html', 'test/_old_fixtures/buttons/input-btn-disabled-class.html', 'test/_old_fixtures/buttons/with-type.html', 'test/_old_fixtures/buttons/without-type.html', 'test/_old_fixtures/carousel/controls.html', 'test/_old_fixtures/carousel/indicators.html', 'test/_old_fixtures/carousel/missing-active-item.html', 'test/_old_fixtures/carousel/missing-inner.html', 'test/_old_fixtures/carousel/multiple-active-item.html', 'test/_old_fixtures/carousel/multiple-inner.html', 'test/_old_fixtures/carousel/valid.html', 'test/_old_fixtures/charset/missing.html', 'test/_old_fixtures/charset/not-utf8.html', 'test/_old_fixtures/charset/utf8-meta.html', 'test/_old_fixtures/charset/utf8.html', 'test/_old_fixtures/checkboxes-radios/checkbox-block-bad.html', 'test/_old_fixtures/checkboxes-radios/checkbox-inline-bad-structure.html', 'test/_old_fixtures/checkboxes-radios/checkbox-inline-non-label.html', 'test/_old_fixtures/checkboxes-radios/radio-block-bad.html', 'test/_old_fixtures/checkboxes-radios/radio-inline-bad-structure.html', 'test/_old_fixtures/checkboxes-radios/radio-inline-non-label.html', 'test/_old_fixtures/checkboxes-radios/valid.html', 'test/_old_fixtures/cli/x-ua-compatible-missing.output.txt', 'test/_old_fixtures/containers/ancestor.html', 'test/_old_fixtures/containers/columns.html', 'test/_old_fixtures/containers/fixed-row-same-elem.html', 'test/_old_fixtures/containers/fixed.html', 'test/_old_fixtures/containers/fluid-row-same-elem.html', 'test/_old_fixtures/containers/fluid.html', 'test/_old_fixtures/containers/missing.html', 'test/_old_fixtures/containers/nested-fixed-fixed.html', 'test/_old_fixtures/containers/nested-fixed-fluid.html', 'test/_old_fixtures/containers/nested-fluid-fixed.html', 'test/_old_fixtures/containers/nested-fluid-fluid.html', 'test/_old_fixtures/doctype/html4.html', 'test/_old_fixtures/doctype/html5-legacy.html', 'test/_old_fixtures/doctype/html5-normal.html', 'test/_old_fixtures/doctype/missing.html', 'test/_old_fixtures/feedback/form-control-bad.html', 'test/_old_fixtures/feedback/form-control-valid.html', 'test/_old_fixtures/feedback/nested-form-control-bad.html', 'test/_old_fixtures/form-control/span-invalid.html', 'test/_old_fixtures/form-control/type-button.html', 'test/_old_fixtures/form-control/type-checkbox.html', 'test/_old_fixtures/form-control/type-file.html', 'test/_old_fixtures/form-control/type-hidden.html', 'test/_old_fixtures/form-control/type-image.html', 'test/_old_fixtures/form-control/type-radio.html', 'test/_old_fixtures/form-control/type-range.html', 'test/_old_fixtures/form-control/type-reset.html', 'test/_old_fixtures/form-control/type-submit.html', 'test/_old_fixtures/form-control/valid.html', 'test/_old_fixtures/form-control/with-type.html', 'test/_old_fixtures/form-control/without-type.html', 'test/_old_fixtures/form/form-horizontal-group.html', 'test/_old_fixtures/form/form-inline-group.html', 'test/_old_fixtures/form/nested-form-groups.html', 'test/_old_fixtures/form/valid.html', 'test/_old_fixtures/glyphicons/missing-glyphicon-class.html', 'test/_old_fixtures/glyphicons/on-elem-with-child.html', 'test/_old_fixtures/glyphicons/on-elem-with-text.html', 'test/_old_fixtures/glyphicons/valid.html', 'test/_old_fixtures/grid/col-lg-0.html', 'test/_old_fixtures/grid/col-md-0.html', 'test/_old_fixtures/grid/col-no-float.html', 'test/_old_fixtures/grid/col-sm-0.html', 'test/_old_fixtures/grid/col-xs-0.html', 'test/_old_fixtures/grid/cols-not-redundant.html', 'test/_old_fixtures/grid/cols-outside-row-and-form-group.html', 'test/_old_fixtures/grid/cols-redundant.html', 'test/_old_fixtures/grid/cols-within-form-group.html', 'test/_old_fixtures/grid/cols-within-row.html', 'test/_old_fixtures/grid/non-col-row-children.html', 'test/_old_fixtures/grid/row-col-same-elem.html', 'test/_old_fixtures/grid/row-no-float.html', 'test/_old_fixtures/grid/script-child-of-row.html', 'test/_old_fixtures/grid/spacer-col/blank-text.html', 'test/_old_fixtures/grid/spacer-col/child-with-text.html', 'test/_old_fixtures/grid/spacer-col/child-without-text.html', 'test/_old_fixtures/grid/spacer-col/col-element.html', 'test/_old_fixtures/grid/spacer-col/last-child.html', 'test/_old_fixtures/grid/spacer-col/multiple-reversed-order.html', 'test/_old_fixtures/grid/spacer-col/no-child-no-text.html', 'test/_old_fixtures/grid/spacer-col/non-blank-text.html', 'test/_old_fixtures/grid/spacer-col/tricky-classes.html', 'test/_old_fixtures/grid/spacer-col/void-elements.html', 'test/_old_fixtures/images/img-responsive-bad.html', 'test/_old_fixtures/images/img-responsive-valid.html', 'test/_old_fixtures/input-group/missing-form-control.html', 'test/_old_fixtures/input-group/missing-input-group-addon.html', 'test/_old_fixtures/input-group/missing-input-group-sizing.html', 'test/_old_fixtures/input-group/mixed-with-form-group.html', 'test/_old_fixtures/input-group/mixed-with-grid-col.html', 'test/_old_fixtures/input-group/multiple-add-on-left.html', 'test/_old_fixtures/input-group/multiple-add-on-right.html', 'test/_old_fixtures/input-group/multiple-btn-add-on-left.html', 'test/_old_fixtures/input-group/multiple-btn-add-on-right.html', 'test/_old_fixtures/input-group/multiple-form-controls.html', 'test/_old_fixtures/input-group/multiple-mixed-add-on-left.html', 'test/_old_fixtures/input-group/select.html', 'test/_old_fixtures/input-group/textarea.html', 'test/_old_fixtures/input-group/valid.html', 'test/_old_fixtures/jquery/and_bs_js_both_missing.html', 'test/_old_fixtures/jquery/custom.html', 'test/_old_fixtures/jquery/jquery-plugin.html', 'test/_old_fixtures/jquery/missing.html', 'test/_old_fixtures/jquery/old-attr.html', 'test/_old_fixtures/jquery/old-url.html', 'test/_old_fixtures/jquery/present.html', 'test/_old_fixtures/js/both.html', 'test/_old_fixtures/js/one.html', 'test/_old_fixtures/js/similar.html', 'test/_old_fixtures/js/weird.html', 'test/_old_fixtures/media/deprecated-pull-classes.html', 'test/_old_fixtures/media/media-classes.html', 'test/_old_fixtures/media/media-pull-on-media.html', 'test/_old_fixtures/media/misplaced-media-left.html', 'test/_old_fixtures/media/misplaced-media-right.html', 'test/_old_fixtures/modal/body-outside-content.html', 'test/_old_fixtures/modal/content-outside-dialog.html', 'test/_old_fixtures/modal/dialog-outside-modal.html', 'test/_old_fixtures/modal/footer-outside-content.html', 'test/_old_fixtures/modal/header-outside-content.html', 'test/_old_fixtures/modal/missing-role-dialog.html', 'test/_old_fixtures/modal/missing-role-document.html', 'test/_old_fixtures/modal/remote.html', 'test/_old_fixtures/modal/tabindex-missing.html', 'test/_old_fixtures/modal/title-outside-header.html', 'test/_old_fixtures/modal/valid.html', 'test/_old_fixtures/modal/with-hide.html', 'test/_old_fixtures/modal/within-navbar.html', 'test/_old_fixtures/modal/within-table.html', 'test/_old_fixtures/navbar/btn-bad.html', 'test/_old_fixtures/navbar/navbar-btn-bad.html', 'test/_old_fixtures/navbar/navbar-container.html', 'test/_old_fixtures/navbar/navbar-left-bad.html', 'test/_old_fixtures/navbar/navbar-left-right-on-navbar.html', 'test/_old_fixtures/navbar/navbar-left-right-valid.html', 'test/_old_fixtures/navbar/navbar-right-bad.html', 'test/_old_fixtures/outdated/bootstrap-css.html', 'test/_old_fixtures/outdated/bootstrap-extensions-okay.html', 'test/_old_fixtures/outdated/bootstrap-js.html', 'test/_old_fixtures/outdated/bootstrap-min-css.html', 'test/_old_fixtures/outdated/bootstrap-min-js.html', 'test/_old_fixtures/outdated/js-version-not-in-url-current.html', 'test/_old_fixtures/outdated/js-version-not-in-url-outdated.html', 'test/_old_fixtures/panels/panel-body-missing-parent.html', 'test/_old_fixtures/panels/panel-footer-missing-parent.html', 'test/_old_fixtures/panels/panel-heading-missing-parent.html', 'test/_old_fixtures/panels/panel-title-missing-parent.html', 'test/_old_fixtures/panels/panels.html', 'test/_old_fixtures/table/responsive-incorrect.html', 'test/_old_fixtures/table/responsive-valid.html', 'test/_old_fixtures/tooltips/in-btn-groups.html', 'test/_old_fixtures/tooltips/on-disabled-elems.html', 'test/_old_fixtures/version-4/bootstrap-css.html', 'test/_old_fixtures/version-4/bootstrap-extensions-okay.html', 'test/_old_fixtures/version-4/bootstrap-js.html', 'test/_old_fixtures/version-4/bootstrap-min-css.html', 'test/_old_fixtures/version-4/bootstrap-min-js.html', 'test/_old_fixtures/version-4/js-version-not-in-url-4.0.0.html', 'test/_old_fixtures/viewport/missing.html', 'test/_old_fixtures/viewport/present.html', 'test/_old_fixtures/x-ua-compatible/lowercase.html', 'test/_old_fixtures/x-ua-compatible/missing.html', 'test/_old_fixtures/x-ua-compatible/present.html', 'test/bootlint_test.js', '.eslintrc.json', 'src/bootlint.js', 'src/bootlint.js', 'test/_old_fixtures/doctype/html4.html', 'test/_old_fixtures/doctype/html5-legacy.html', 'test/_old_fixtures/doctype/missing.html', 'test/_old_fixtures/x-ua-compatible/present.html', 'test/bootlint_test.js', 'test/fixtures/grid/col-0.html', 'test/fixtures/grid/col-lg-0.html', 'test/fixtures/grid/col-md-0.html', 'test/fixtures/grid/col-no-float.html', 'test/fixtures/grid/col-sm-0.html', 'test/fixtures/grid/col-xl-0.html', 'test/fixtures/grid/cols-not-redundant.html', 'test/fixtures/grid/cols-outside-row-and-form-group.html', 'test/fixtures/grid/cols-redundant.html', 'test/fixtures/grid/cols-within-form-group.html', 'test/fixtures/grid/cols-within-row.html', 'test/fixtures/grid/non-col-row-children.html', 'test/fixtures/grid/row-col-same-elem.html', 'test/fixtures/grid/row-no-float.html', 'test/fixtures/grid/script-child-of-row.html', 'test/fixtures/grid/spacer-col/blank-text.html', 'test/fixtures/grid/spacer-col/child-with-text.html', 'test/fixtures/grid/spacer-col/child-without-text.html', 'test/fixtures/grid/spacer-col/col-element.html', 'test/fixtures/grid/spacer-col/last-child.html', 'test/fixtures/grid/spacer-col/multiple-reversed-order.html', 'test/fixtures/grid/spacer-col/no-child-no-text.html', 'test/fixtures/grid/spacer-col/non-blank-text.html', 'test/fixtures/grid/spacer-col/tricky-classes.html', 'test/fixtures/grid/spacer-col/void-elements.html', 'src/bootlint.js'];twbs/bootlint;None;open
1042176;twbs/bootlint;349621;439;['src/bootlint.js', 'test/_old_fixtures/input-group/multiple-add-on-left.html', 'test/_old_fixtures/input-group/multiple-add-on-right.html', 'test/_old_fixtures/input-group/multiple-btn-add-on-left.html', 'test/_old_fixtures/input-group/multiple-btn-add-on-right.html', 'test/_old_fixtures/input-group/multiple-form-controls.html', 'test/_old_fixtures/input-group/multiple-mixed-add-on-left.html', 'test/_old_fixtures/input-group/select.html', 'test/_old_fixtures/input-group/textarea.html', 'test/_old_fixtures/input-group/valid.html', 'test/bootlint_test.js', 'test/fixtures/input-group/missing-form-control.html', 'test/fixtures/input-group/missing-input-group-addon.html', 'test/fixtures/input-group/missing-input-group-sizing.html', 'test/fixtures/input-group/mixed-with-form-group.html', 'test/fixtures/input-group/mixed-with-grid-col.html'];twbs/bootlint;None;open
1042176;twbs/bootlint;1689750;439;['src/bootlint.js', 'test/_old_fixtures/input-group/multiple-add-on-left.html', 'test/_old_fixtures/input-group/multiple-add-on-right.html', 'test/_old_fixtures/input-group/multiple-btn-add-on-left.html', 'test/_old_fixtures/input-group/multiple-btn-add-on-right.html', 'test/_old_fixtures/input-group/multiple-form-controls.html', 'test/_old_fixtures/input-group/multiple-mixed-add-on-left.html', 'test/_old_fixtures/input-group/select.html', 'test/_old_fixtures/input-group/textarea.html', 'test/_old_fixtures/input-group/valid.html', 'test/bootlint_test.js', 'test/fixtures/input-group/missing-form-control.html', 'test/fixtures/input-group/missing-input-group-addon.html', 'test/fixtures/input-group/missing-input-group-sizing.html', 'test/fixtures/input-group/mixed-with-form-group.html', 'test/fixtures/input-group/mixed-with-grid-col.html'];twbs/bootlint;None;open
1284223;twbs/savage;419884;2;['README.md'];twbs/savage;None;open
416356;twbs/rfs;11559216;8;['scss.scss'];twbs/rfs;None;open
35297720;twbs/rfs;11559216;2;['LICENSE'];twbs/rfs;None;open
49699333;twbs/stylelint-config-twbs-bootstrap;349621;48;['package-lock.json', 'package.json'];twbs/stylelint-config-twbs-bootstrap;None;open
49699333;twbs/icons;349621;48;['package-lock.json', 'package.json'];twbs/icons;None;open
49699333;twbs/icons;349621;44;['package-lock.json', 'package.json'];twbs/icons;None;open
