Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Closed At;status
65253296;betterscientificsoftware/bssw.io;786325;2;['CuratedContent/NationalRSEOrgs.md', 'CuratedContent/InclusiveTermsResources.md', 'CuratedContent/InclusiveTermsResources.md'];betterscientificsoftware/bssw.io;2021-11-30T16:34:23Z;closed
5720676;betterscientificsoftware/bssw.io;1959736;17;['CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'utils/wikize_refs.py'];betterscientificsoftware/bssw.io;2021-11-04T19:10:31Z;closed
5720676;betterscientificsoftware/bssw.io;768870;2;['Articles/Blog/ApolloGuidanceComputerPart2.md', 'Articles/Blog/ApolloGuidanceComputerPart3.md'];betterscientificsoftware/bssw.io;2021-12-02T17:16:17Z;closed
65253296;betterscientificsoftware/bssw.io;786325;3;['Articles/Blog/2021-11-CollegevilleReportDay3.md', 'Articles/Blog/2021-11-CollegevilleReportDay3.md', 'Articles/Blog/2021-11-CollegevilleReportDay3.md'];betterscientificsoftware/bssw.io;2021-11-03T17:59:18Z;closed
426409;betterscientificsoftware/bssw.io;786325;6;['Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'images/blog/2021-12-gcd.png', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-11-HPCAndTheLabManager.md', 'images/blog/2021-12-gcd.png', 'Articles/Blog/2021-11-HPCAndTheLabManager.md', 'Articles/Blog/2021-11-HPCAndTheLabManager.md', 'Articles/Blog/2021-11-HPCAndTheLabManager.md', 'Articles/Blog/2021-11-HPCAndTheLabManager.md', 'Articles/Blog/2021-11-HPCAndTheLabManager.md', 'Articles/Blog/2021-11-HPCAndTheLabManager.md'];betterscientificsoftware/bssw.io;2021-11-17T19:46:36Z;closed
426409;betterscientificsoftware/bssw.io;65253296;6;['Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'images/blog/2021-12-gcd.png', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-12-HPCAndScienceProcessCulture.md', 'Articles/Blog/2021-11-HPCAndTheLabManager.md', 'images/blog/2021-12-gcd.png', 'Articles/Blog/2021-11-HPCAndTheLabManager.md', 'Articles/Blog/2021-11-HPCAndTheLabManager.md', 'Articles/Blog/2021-11-HPCAndTheLabManager.md', 'Articles/Blog/2021-11-HPCAndTheLabManager.md', 'Articles/Blog/2021-11-HPCAndTheLabManager.md', 'Articles/Blog/2021-11-HPCAndTheLabManager.md'];betterscientificsoftware/bssw.io;2021-11-17T19:46:36Z;closed
65253296;betterscientificsoftware/bssw.io;786325;8;['CuratedContent/ProducingWebinarSeries.md', 'CuratedContent/ProducingWebinarSeries.md'];betterscientificsoftware/bssw.io;2021-10-26T17:53:01Z;closed
65253296;betterscientificsoftware/bssw.io;768870;2;['docs/pages/bssw/bssw_troubleshooting.md', 'docs/pages/bssw/bssw_troubleshooting.md'];betterscientificsoftware/bssw.io;2021-10-26T20:26:38Z;closed
5720676;betterscientificsoftware/bssw.io;768870;21;['CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md'];betterscientificsoftware/bssw.io;2021-11-04T16:21:03Z;closed
5720676;betterscientificsoftware/bssw.io;2473171;21;['CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md', 'CuratedContent/InclusiveLanguageResources.md'];betterscientificsoftware/bssw.io;2021-11-04T16:21:03Z;closed
