Author;Project/Subproject;Reviewer;Change_Size;File Info;Subject;Status
1001266;openbmc/openbmc;1000000;538;['meta-facebook/meta-bletchley/conf/machine/bletchley.conf', 'meta-facebook/meta-bletchley/recipes-bletchley/motor-ctrl/files/host-poweroff@.service', 'meta-facebook/meta-bletchley/recipes-bletchley/motor-ctrl/files/host-poweron@.service', 'meta-facebook/meta-bletchley/recipes-bletchley/motor-ctrl/files/motor-ctrl.sh', 'meta-facebook/meta-bletchley/recipes-bletchley/motor-ctrl/files/motor-init-calibration@.service', 'meta-facebook/meta-bletchley/recipes-bletchley/motor-ctrl/files/motor-init.sh', 'meta-facebook/meta-bletchley/recipes-bletchley/motor-ctrl/files/power-ctrl.sh', 'meta-facebook/meta-bletchley/recipes-bletchley/motor-ctrl/motor-ctrl_0.1.bb', 'meta-facebook/meta-bletchley/recipes-phosphor/images/obmc-phosphor-image.bbappend', 'meta-facebook/meta-bletchley/recipes-bletchley/motor-ctrl/files/motor-ctrl', 'meta-facebook/meta-bletchley/recipes-bletchley/motor-ctrl/files/motor-init', 'meta-facebook/meta-bletchley/recipes-bletchley/motor-ctrl/files/power-ctrl', 'meta-facebook/meta-bletchley/recipes-phosphor/images/fb-bletchley-phosphor-image.inc'];openbmc/openbmc;closed
1000000;openbmc/openbmc;1000000;23;['meta-facebook/meta-bletchley/recipes-phosphor/images/fb-bletchley-phosphor-image.inc', 'meta-facebook/recipes-phosphor/images/fb-phosphor-image.inc', 'meta-facebook/recipes-phosphor/images/obmc-phosphor-image.bbappend'];openbmc/openbmc;closed
1000000;openbmc/openbmc;1000000;4;['meta-facebook/meta-bletchley/recipes-phosphor/network/phosphor-network_%.bbappend'];openbmc/openbmc;closed
1000397;openbmc/phosphor-led-manager;1000000;39;['fault-monitor/fru-fault-monitor.cpp', 'fault-monitor/fru-fault-monitor.hpp', 'fault-monitor/operational-status-monitor.cpp', 'fault-monitor/operational-status-monitor.hpp', 'lamptest.cpp', 'led-main.cpp', 'serialize.hpp'];openbmc/phosphor-led-manager;closed
1000004;openbmc/openbmc;1000004;2;['meta-phosphor/recipes-phosphor/leds/phosphor-led-manager.inc'];openbmc/openbmc;closed
1000885;openbmc/bmcweb;1000276;77;['meta-phosphor/recipes-phosphor/leds/phosphor-led-manager.inc'];openbmc/bmcweb;new
1000885;openbmc/bmcweb;1000020;77;['meta-phosphor/recipes-phosphor/leds/phosphor-led-manager.inc'];openbmc/bmcweb;new
1000885;openbmc/bmcweb;1000873;77;['meta-phosphor/recipes-phosphor/leds/phosphor-led-manager.inc'];openbmc/bmcweb;new
1000885;openbmc/bmcweb;1000153;77;['meta-phosphor/recipes-phosphor/leds/phosphor-led-manager.inc'];openbmc/bmcweb;new
1000004;openbmc/openbmc;1000004;2;['meta-phosphor/recipes-phosphor/state/phosphor-post-code-manager_git.bb'];openbmc/openbmc;closed
1000004;openbmc/openbmc;1000004;2;['meta-phosphor/recipes-phosphor/webui/webui-vue_git.bb'];openbmc/openbmc;closed
1000044;openbmc/bmcweb;1000153;2;['http/http_connection.hpp'];openbmc/bmcweb;closed
1000004;openbmc/openbmc;1000004;2;['meta-phosphor/recipes-extended/sdbusplus/sdbusplus-rev.inc'];openbmc/openbmc;closed
1000678;openbmc/sdbusplus;1000000;207;['example/get-all-properties.cpp', 'example/register-property.cpp'];openbmc/sdbusplus;closed
1000931;openbmc/webui-vue;1000932;37;['src/store/modules/Control/PowerControlStore.js', 'src/store/modules/ResourceManagement/PowerControlStore.js', 'src/views/ResourceManagement/Power.vue'];openbmc/webui-vue;closed
1000931;openbmc/webui-vue;1000044;37;['src/store/modules/Control/PowerControlStore.js', 'src/store/modules/ResourceManagement/PowerControlStore.js', 'src/views/ResourceManagement/Power.vue'];openbmc/webui-vue;closed
1000931;openbmc/webui-vue;1000396;37;['src/store/modules/Control/PowerControlStore.js', 'src/store/modules/ResourceManagement/PowerControlStore.js', 'src/views/ResourceManagement/Power.vue'];openbmc/webui-vue;closed
1000879;openbmc/openbmc;1000002;14;['src/store/modules/Control/PowerControlStore.js', 'src/store/modules/ResourceManagement/PowerControlStore.js', 'src/views/ResourceManagement/Power.vue'];openbmc/openbmc;new
